"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","Park_Name","Park_Type","Zip_Code","Aqua_Feat__Pool","Aqua_Feat__Spray","Backstop__Practice","Ballfield","Basketball","Blueway","Complex__Ballfield","Complex__Tennis","Concessions","Disk_Golf","Driving_Range","Educational_Experience","Event_Space","Fitness_Course","Garden__Community","Garden__Display","Golf","Hockey__Ice","Loop_Walk","MP_Field__Large","MP_Field__Multiple","MP_Field__Small","Multiuse_Court","Natural_Area","Open_Turf","Open_Water","Other___Active","Other_Passive","Passive_Node","Picnic_Grounds","Playground__Destination","Playground__Local","Public_Art","Shelter","Shelter__Group","Skate_Park","Sledding_Hill","Structure","Tennis","Trail__Primitive","Volleyball","Water_Access__Developed","Water_Access__General","Water_Feature","Address","X","Y"
"24",24,24,24,24,24,24,24,"Blackthorn Golf Course","Golf Course",46628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6100 Nimtz Parkway, South Bend, Indiana 46628",-86.33406577,41.72254377
"25",25,25,25,25,25,25,25,"Ryer Mini Park","Block Park",46628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1565 Ryer St. &nbsp;, South Bend, Indiana 46628",-86.30769578,41.70801128
"26",26,26,26,26,26,26,26,"Bowman Cemetery","Cemetery",46613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1700 S. Miami Street, South Bend, Indiana 46613",-86.23495205,41.65777328
"27",27,27,27,27,27,27,27,"LaSalle Landing Park","Block Park",46619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"2800 Portage, South Bend, Indiana 46619",-86.32130868,41.66817885
"28",28,28,28,28,28,28,28,"LaSalle Park","Community Park",46619,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,"3419 W. Washington, South Bend, Indiana 46619",-86.29558581,41.67560915
"29",29,29,29,29,29,29,29,"Leeper Park","Community Park",46616,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,15,NA,NA,NA,1,NA,"820 N. Michigan St., South Bend, Indiana 46616",-86.25049424,41.68530212
"30",30,30,30,30,30,30,30,"Marshall Park","Neighborhood Park",46614,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"3725 Springbrook, South Bend, Indiana 46614",-86.22310961,41.63666075
"31",31,31,31,31,31,31,31,"Muessel Grove Park","Neighborhood Park",46628,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200 Wilbur Street, South Bend, Indiana 46628",-86.27398316,41.69094202
"32",32,32,32,32,32,32,32,"Rum Village Park","Community Park",46614,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,"2700 Gertrude St, South Bend, Indiana 46614",-86.273117,41.64682859
"33",33,33,33,33,33,33,33,"Brownfield Park","Block Park",46616,NA,NA,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1022 Angela Blvd, South Bend, Indiana 46616",-86.26449755,41.69323166
